

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =     70      checkA   =   T          precon   =   F
 itnlim   =    280      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+05   trancond =   1.00E+05


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
       0   0.0000000000E+00   0.0000000000E+00  0.00E+00  1.65E-02  9.43E-02  1.00E+00  1.00E+00  0.00E+00  1.00E+00  
       1   2.0899259866E-04  -2.8288362037E-04  2.53E-03  7.96E-03  3.86E-02  2.57E-01  6.10E-01  5.72E+00  1.00E+00  
       2   3.6243470900E-04  -4.1264596753E-04  3.79E-03  5.25E-03  1.86E-02  1.12E-01  4.47E-01  7.94E+00  2.11E+00  
       3   3.7748161601E-04  -4.3954473085E-04  5.10E-03  3.66E-03  7.90E-03  6.43E-02  2.71E-01  7.94E+00  3.63E+00  
       4   3.7965120168E-04  -4.8380178610E-04  5.87E-03  3.25E-03  6.93E-03  5.16E-02  2.62E-01  7.94E+00  5.28E+00  
       5   4.6931856613E-04  -6.4000399651E-04  8.54E-03  2.41E-03  8.11E-03  2.79E-02  4.14E-01  8.15E+00  1.28E+01  
       6   5.2409328600E-04  -7.2011724360E-04  1.07E-02  1.72E-03  3.15E-03  1.66E-02  2.25E-01  8.15E+00  1.22E+01  
       7   5.4751259656E-04  -6.8654676799E-04  1.18E-02  1.42E-03  2.20E-03  1.27E-02  1.90E-01  8.15E+00  1.28E+01  
       8   5.4510133971E-04  -6.2618840393E-04  1.28E-02  1.19E-03  2.43E-03  9.91E-03  2.50E-01  8.15E+00  1.43E+01  
       9   5.2618187827E-04  -5.0981567779E-04  1.41E-02  9.06E-04  7.33E-04  6.90E-03  9.93E-02  8.15E+00  1.90E+01  

      10   5.3951293200E-04  -3.1667166941E-04  1.55E-02  6.26E-04  2.26E-04  4.37E-03  4.43E-02  8.15E+00  2.66E+01  
      20   5.7314426576E-04   6.5233713531E-04  2.13E-02  5.17E-05  1.62E-05  2.40E-04  3.34E-02  9.35E+00  9.66E+01  
      30   6.1654435850E-04   6.8244817624E-04  2.17E-02  2.87E-07  2.87E-09  1.17E-06  9.47E-04  1.06E+01  2.12E+02  
      31   6.1654207453E-04   6.8234368214E-04  2.17E-02  2.87E-07  9.16E-09  1.17E-06  3.02E-03  1.06E+01  2.26E+03  
      32   6.1286385880E-04   5.3522051653E-04  2.17E-02  2.87E-07  2.59E-07  1.17E-06  8.53E-02  1.06E+01  2.26E+03  

 Exit  MINRES-QLP.       istop = 13              itn    =      32
 Exit  MINRES-QLP.       Anorm =  1.0587E+01     Acond  =  2.2593E+03
 Exit  MINRES-QLP.       rnorm =  2.8655E-07     Arnorm =  2.5886E-07
 Exit  MINRES-QLP.       xnorm =  2.1738E-02
 Exit  MINRES-QLP.       Acond has exceeded Acondlim or 0.1/eps.                          
