

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =    230      checkA   =   T          precon   =   F
 itnlim   =    920      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
       0   0.0000000000E+00   0.0000000000E+00  0.00E+00  6.13E-02  5.30E-02  1.00E+00  1.00E+00  0.00E+00  1.00E+00  
       1   0.0000000000E+00   0.0000000000E+00  7.08E-02  8.79E-08  1.19E-12  7.17E-07  1.57E-05  8.65E-01  1.00E+00  
       2   3.2945811027E-08  -3.9725243005E-09  7.09E-02  8.42E-08  2.04E-08  6.87E-07  2.80E-01  8.65E-01  6.39E+04  
       3   3.0804317847E-07  -3.7143018163E-08  7.29E-02  4.36E-08  5.39E-14  3.51E-07  1.43E-06  8.65E-01  1.85E+05  
       4   1.4594856749E-06  -1.3838514798E-07  8.28E-02  2.89E-08  4.53E-12  2.18E-07  1.81E-04  8.65E-01  8.13E+05  
       5   1.4595452839E-06  -1.3838571039E-07  8.28E-02  2.89E-08  9.53E-11  2.18E-07  3.81E-03  8.65E-01  1.85E+05  
       6   4.1116742438E-06  -1.6110226120E-07  1.10E-01  1.63E-08  2.28E-14  1.04E-07  1.61E-06  8.65E-01  1.65E+06  
       7   5.9690778790E-06   6.1439686382E-08  1.24E-01  9.81E-09  1.82E-10  5.81E-08  2.14E-02  8.65E-01  1.41E+06  
       8   5.9695659108E-06   6.1498514171E-08  1.24E-01  9.80E-09  2.25E-13  5.81E-08  2.66E-05  8.65E-01  1.65E+06  
       9   8.0760708160E-06   6.2764793771E-07  1.32E-01  6.90E-09  9.74E-15  3.93E-08  1.63E-06  8.65E-01  1.76E+06  

      10   8.4960438443E-06   7.6693566071E-07  1.33E-01  6.67E-09  1.41E-09  3.78E-08  2.44E-01  8.65E-01  1.65E+06  
      20   3.6743438361E-05   1.1391987565E-05  1.70E-01  2.08E-09  1.26E-15  9.98E-09  6.99E-07  8.65E-01  1.28E+07 P
      30   8.4874290743E-05   2.4850585434E-05  2.10E-01  8.00E-10  1.46E-15  3.30E-09  2.11E-06  8.65E-01  2.00E+07  
      40   1.6154025485E-04   2.1711123984E-05  2.25E-01  2.53E-10  1.53E-12  9.87E-10  7.02E-03  8.65E-01  2.84E+07  
      50   2.3329499394E-04   1.0024582762E-05  2.29E-01  6.13E-11  2.66E-12  2.37E-10  5.02E-02  8.65E-01  2.84E+07  
      60   2.7853631748E-04  -3.4532549650E-07  2.29E-01  4.75E-11  4.35E-14  1.83E-10  1.06E-03  8.65E-01  2.84E+07  
      70   3.5163072881E-04  -1.7819354828E-05  2.29E-01  3.82E-11  1.75E-15  1.47E-10  5.29E-05  8.65E-01  3.81E+07  
      80   4.4806987131E-04  -4.2940341261E-05  2.29E-01  3.74E-11  5.28E-16  1.44E-10  1.63E-05  8.65E-01  5.67E+08  
