

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =    230      checkA   =   T          precon   =   F
 itnlim   =    920      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
       0   0.0000000000E+00   0.0000000000E+00  0.00E+00  2.79E+00  1.72E+03  1.00E+00  1.00E+00  0.00E+00  1.00E+00  
       1   1.5467604242E-04   7.7780388952E-06  4.10E-03  1.18E+00  5.72E+02  2.21E-01  6.18E-01  6.18E+02  1.00E+00  
       2   3.2519844997E-04   1.7462596373E-05  5.71E-03  7.68E-01  1.08E+02  1.06E-01  1.78E-01  7.85E+02  1.95E+00  
       3   8.7475258192E-04   4.9767323952E-05  9.20E-03  5.66E-01  4.23E+01  5.65E-02  9.52E-02  7.85E+02  7.27E+00  
       4   2.4253784065E-03   1.5075096911E-04  1.83E-02  3.53E-01  5.97E+00  2.06E-02  2.15E-02  7.85E+02  1.88E+01  
       5   4.9322793674E-03   3.3739105850E-04  2.68E-02  3.12E-01  5.51E+00  1.30E-02  2.25E-02  7.85E+02  5.42E+01  
       6   1.0718884324E-02   7.9210965195E-04  4.92E-02  2.61E-01  4.46E+00  6.28E-03  2.18E-02  7.85E+02  1.16E+02  
       7   1.6539579592E-02   1.1984230437E-03  7.28E-02  2.22E-01  1.78E+00  3.70E-03  1.02E-02  7.85E+02  1.45E+02  
       8   2.7849115501E-02   1.8009565695E-03  1.20E-01  1.68E-01  2.30E+00  1.73E-03  1.74E-02  7.85E+02  2.79E+02  
       9   3.3697526575E-02   2.0390309613E-03  1.46E-01  1.41E-01  1.40E+00  1.20E-03  1.27E-02  7.85E+02  2.33E+02  

      10   3.7131054937E-02   1.9996750570E-03  1.62E-01  1.27E-01  3.29E+01  9.76E-04  3.30E-01  7.85E+02  2.79E+02  
      20   5.3621549738E-02   1.4597960470E-03  2.76E-01  5.83E-02  1.66E+00  2.65E-04  3.05E-02  7.85E+02  4.78E+02  
      30   6.7578864807E-02  -7.9344459799E-05  4.47E-01  2.96E-02  3.10E-02  7.06E-05  1.13E-03  9.31E+02  3.11E+03  
