

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =     35      checkA   =   T          precon   =   F
 itnlim   =    140      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
       0   0.0000000000E+00   0.0000000000E+00  0.00E+00  5.93E-02  2.50E-01  1.00E+00  1.00E+00  0.00E+00  1.00E+00  
       1   1.4889039650E-03   1.8410633239E-04  1.11E-02  3.63E-02  1.31E-01  3.43E-01  5.02E-01  4.23E+00  1.00E+00  
       2   3.3791516469E-03   9.2174406590E-04  2.13E-02  2.41E-02  6.01E-02  1.13E-01  3.48E-01  7.17E+00  3.02E+00  
       3   6.0939867476E-03   3.1659322473E-04  3.23E-02  1.55E-02  1.69E-02  5.32E-02  1.53E-01  7.17E+00  5.03E+00  
       4   8.5650906948E-03   5.1653676306E-04  4.68E-02  8.85E-03  1.53E-02  2.24E-02  2.40E-01  7.17E+00  1.05E+01  
       5   9.3355755277E-03   5.2824566052E-04  5.12E-02  6.99E-03  6.61E-03  1.64E-02  1.32E-01  7.17E+00  7.92E+00  
       6   9.7790246959E-03   5.1700471026E-04  5.64E-02  5.62E-03  2.88E-03  1.21E-02  7.15E-02  7.17E+00  1.45E+01  
       7   1.0967010395E-02   7.1603822666E-05  6.67E-02  4.09E-03  2.46E-03  7.61E-03  8.40E-02  7.17E+00  3.06E+01  
       8   1.1225179846E-02   3.1444544666E-04  7.74E-02  2.73E-03  2.45E-03  4.44E-03  1.25E-01  7.17E+00  3.64E+01  
       9   1.0926524126E-02   3.9956254507E-04  8.24E-02  2.06E-03  6.73E-04  3.16E-03  4.56E-02  7.17E+00  3.06E+01  

      10   1.0348732845E-02   2.0914466191E-04  8.54E-02  1.76E-03  5.36E-04  2.63E-03  4.23E-02  7.17E+00  3.77E+01  
      11   9.3731467300E-03  -2.5081038315E-04  8.87E-02  1.55E-03  2.89E-04  2.23E-03  2.60E-02  7.17E+00  5.72E+01  
      12   7.6216943417E-03  -1.0939135606E-03  9.50E-02  1.30E-03  4.38E-04  1.75E-03  4.71E-02  7.17E+00  1.07E+02  
      13   6.1932000202E-03  -1.8390777640E-03  1.01E-01  1.10E-03  1.93E-03  1.40E-03  2.45E-01  7.17E+00  1.10E+02  
      14   5.9405559004E-03  -1.9734069025E-03  1.02E-01  1.06E-03  4.13E-04  1.35E-03  4.80E-02  7.17E+00  1.07E+02  
      15   4.4093255102E-03  -2.6690257349E-03  1.08E-01  9.14E-04  9.04E-05  9.82E-04  1.22E-02  8.10E+00  1.44E+02  
      16   1.5047597054E-03  -3.3437132349E-03  1.20E-01  6.68E-04  6.71E-05  6.48E-04  1.24E-02  8.10E+00  2.71E+02  
      17   6.7330906561E-04  -3.3609197417E-03  1.23E-01  6.17E-04  9.65E-04  5.83E-04  1.93E-01  8.10E+00  1.82E+02  
