

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =     99      checkA   =   T          precon   =   F
 itnlim   =    396      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
       0   0.0000000000E+00   0.0000000000E+00  0.00E+00  1.56E+00  1.99E+02  1.00E+00  1.00E+00  0.00E+00  1.00E+00  
       1   1.7973100719E-06   1.6981180125E-07  1.22E-02  4.15E-02  4.04E-01  1.33E-02  7.62E-02  1.28E+02  1.00E+00  
       2  -8.6508268254E-05   1.6661358635E-04  1.29E-02  1.89E-02  9.48E-02  5.88E-03  3.93E-02  1.28E+02  1.31E+01  
       3  -8.1427227983E-05   4.2882097768E-04  1.44E-02  6.83E-03  1.47E-02  2.01E-03  1.69E-02  1.28E+02  3.15E+01  
       4   5.0761420581E-05   5.4342230179E-04  1.55E-02  2.22E-03  1.11E-03  6.27E-04  3.90E-03  1.28E+02  6.81E+01  
       5  -1.2713407641E-04   5.4890462365E-04  1.68E-02  8.37E-04  1.20E-03  2.26E-04  1.12E-02  1.28E+02  2.77E+02  
       6  -1.2087986058E-04   5.5922450256E-04  1.71E-02  4.72E-04  6.84E-03  1.26E-04  1.13E-01  1.28E+02  1.55E+02  
       7  -1.2079108797E-04   5.5947605354E-04  1.71E-02  4.67E-04  1.56E-03  1.25E-04  2.62E-02  1.28E+02  2.77E+02  
       8  -1.1395464071E-04   5.8993919309E-04  1.73E-02  2.80E-04  2.35E-04  7.43E-05  6.58E-03  1.28E+02  3.18E+02  
       9  -1.1668511556E-04   5.9821785220E-04  1.73E-02  2.46E-04  2.02E-05  6.52E-05  6.43E-04  1.28E+02  2.77E+02  

      10  -2.2378613960E-04   6.9820680945E-04  1.81E-02  1.80E-04  1.73E-04  4.64E-05  7.54E-03  1.28E+02  2.76E+03  
      20  -3.6172200249E-04   8.3755330301E-04  2.04E-02  2.29E-05  1.17E-05  5.51E-06  3.99E-03  1.28E+02  1.06E+04  
      30  -3.8901635425E-04   9.4262617868E-04  2.14E-02  6.43E-06  1.11E-04  1.50E-06  1.35E-01  1.28E+02  2.07E+04  
      40  -4.9426775214E-04   9.6090540438E-04  2.23E-02  3.05E-06  9.20E-07  6.93E-07  2.36E-03  1.28E+02  2.31E+04  
      50  -5.5468531939E-04   9.7107531222E-04  2.28E-02  2.18E-06  4.02E-07  4.87E-07  1.44E-03  1.28E+02  8.59E+04  
      60  -6.4784824359E-04   9.8269774870E-04  2.39E-02  1.36E-06  2.33E-06  2.94E-07  1.34E-02  1.28E+02  1.85E+05  
      70  -6.8907767522E-04   9.6260348928E-04  2.48E-02  9.70E-07  1.61E-07  2.05E-07  1.30E-03  1.28E+02  3.26E+05  
      80  -7.0495155594E-04   9.5626426350E-04  2.52E-02  8.16E-07  8.85E-08  1.71E-07  8.49E-04  1.28E+02  3.26E+05  
      90  -7.3420291134E-04   9.1987869308E-04  2.62E-02  5.99E-07  2.66E-06  1.22E-07  3.49E-02  1.28E+02  5.14E+05  
     100  -7.4156812730E-04   9.1322480869E-04  2.64E-02  5.65E-07  9.00E-08  1.15E-07  1.25E-03  1.28E+02  5.14E+05  
     110  -7.8477004768E-04   8.8288353275E-04  2.71E-02  4.53E-07  1.47E-07  9.02E-08  2.54E-03  1.28E+02  5.14E+05  
     120  -8.8277606998E-04   7.9727555829E-04  2.83E-02  3.15E-07  1.73E-07  6.09E-08  4.29E-03  1.28E+02  5.88E+05  
     130  -9.6827936331E-04   6.9968317866E-04  2.92E-02  2.33E-07  6.82E-09  4.40E-08  2.29E-04  1.28E+02  1.20E+06  
     140  -9.8055057088E-04   6.7186807960E-04  2.94E-02  2.20E-07  6.49E-09  4.15E-08  2.31E-04  1.28E+02  1.20E+06  
     150  -9.9572173534E-04   6.2900741779E-04  2.96E-02  2.04E-07  3.90E-08  3.82E-08  1.50E-03  1.28E+02  1.20E+06  
     160  -1.0142690875E-03   5.3125802972E-04  3.00E-02  1.79E-07  1.29E-06  3.32E-08  5.62E-02  1.28E+02  1.20E+06  
     170  -1.0270346849E-03   3.3707633597E-04  3.08E-02  1.52E-07  1.55E-08  2.78E-08  7.94E-04  1.28E+02  1.90E+06  
     180  -1.0309379613E-03   2.2824682225E-04  3.12E-02  1.39E-07  4.42E-09  2.50E-08  2.50E-04  1.28E+02  1.90E+06  
     190  -1.0196344516E-03   4.5593681286E-05  3.19E-02  1.20E-07  4.51E-10  2.13E-08  2.94E-05  1.28E+02  2.28E+06  
     200  -1.0160609437E-03   1.3181994950E-05  3.21E-02  1.17E-07  5.08E-07  2.06E-08  3.41E-02  1.28E+02  2.28E+06  
     210  -9.6136571078E-04  -1.9652137146E-04  3.31E-02  9.57E-08  4.98E-08  1.65E-08  4.07E-03  1.28E+02  2.54E+06  
     220  -9.2344488200E-04  -3.2656470524E-04  3.39E-02  8.03E-08  1.48E-08  1.36E-08  1.44E-03  1.28E+02  2.54E+06  
     230  -9.0901039087E-04  -3.6465678705E-04  3.42E-02  7.47E-08  1.46E-08  1.26E-08  1.54E-03  1.28E+02  2.54E+06  
     240  -8.7099211837E-04  -4.1415762325E-04  3.49E-02  6.31E-08  1.28E-07  1.05E-08  1.59E-02  1.28E+02  4.07E+06  
     250  -8.4589044877E-04  -4.2677655933E-04  3.53E-02  5.64E-08  3.01E-09  9.29E-09  4.18E-04  1.28E+02  4.07E+06  
