

 Enter MINRES-QLP.      Solution of symmetric   Ax = b
 n        =    120      ||b||    =   2.76E-02   precon   =   F
 itnlim   =    480      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+05   trancond =   1.00E+05


    iter   x(1)              xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
       0   0.0000000000E+00  0.00E+00  2.76E-02  1.27E-02  1.00E+00  1.00E+00  0.00E+00  1.00E+00  
       1  -1.5825708203E-02  5.84E-02  6.04E-03  1.74E-03  1.11E-01  5.91E-01  4.61E-01  1.00E+00  
       2  -1.7746270421E-02  6.61E-02  3.64E-03  1.24E-03  6.09E-02  5.94E-01  4.88E-01  1.77E+00  
       3  -1.7225609866E-02  7.43E-02  1.97E-03  2.29E-04  2.81E-02  2.02E-01  5.73E-01  2.98E+00  
       4  -1.9594233697E-02  8.08E-02  1.37E-03  1.59E-04  1.85E-02  2.02E-01  5.73E-01  6.25E+00  
       5  -1.9621572827E-02  8.59E-02  1.13E-03  8.83E-05  1.47E-02  1.36E-01  5.73E-01  8.36E+00  
       6  -1.9973415255E-02  9.03E-02  1.05E-03  9.30E-05  1.32E-02  1.55E-01  5.73E-01  1.25E+01  
       7  -2.0792379344E-02  9.70E-02  9.69E-04  4.08E-05  1.16E-02  7.33E-02  5.73E-01  1.94E+01  
       8  -2.2035366109E-02  1.07E-01  9.16E-04  3.46E-05  1.03E-02  6.59E-02  5.73E-01  3.22E+01  
       9  -2.3613557641E-02  1.24E-01  8.70E-04  4.42E-05  8.83E-03  8.86E-02  5.73E-01  4.91E+01  

      10  -2.4909958912E-02  1.40E-01  8.39E-04  2.63E-05  7.79E-03  5.48E-02  5.73E-01  5.31E+01  
      20  -6.4073711453E-02  7.72E-01  3.76E-04  4.62E-05  7.99E-04  1.95E-01  5.73E-01  2.53E+02  
      30  -6.2584468659E-02  1.05E+00  1.73E-04  1.23E-05  2.50E-04  1.13E-01  6.30E-01  3.43E+02  
      40  -5.5008117764E-02  1.17E+00  9.09E-05  3.83E-06  1.19E-04  6.69E-02  6.30E-01  3.43E+02  
      50  -5.6457788142E-02  1.24E+00  4.32E-05  6.56E-06  5.36E-05  2.37E-01  6.30E-01  4.24E+02  
      60  -5.8117256286E-02  1.26E+00  1.76E-05  3.89E-07  2.10E-05  3.46E-02  6.40E-01  5.82E+02  
      70  -5.7574497850E-02  1.27E+00  8.10E-06  3.89E-07  9.64E-06  7.51E-02  6.40E-01  5.82E+02  
      80  -5.7270700350E-02  1.27E+00  3.49E-06  4.96E-07  4.14E-06  2.22E-01  6.40E-01  5.82E+02  
      90  -5.7540774340E-02  1.27E+00  8.54E-07  4.09E-08  1.01E-06  7.50E-02  6.40E-01  6.50E+02  
     100  -5.7505531478E-02  1.27E+00  1.16E-07  1.34E-10  1.38E-07  1.80E-03  6.40E-01  6.50E+02  
     110  -5.7506699139E-02  1.27E+00  1.68E-08  2.47E-09  1.99E-08  2.30E-01  6.40E-01  6.50E+02  
     120  -5.7507963752E-02  1.27E+00  2.78E-09  6.52E-11  3.29E-09  3.67E-02  6.40E-01  6.50E+02  
     130  -5.7507976444E-02  1.27E+00  8.95E-10  1.09E-10  1.03E-09  1.85E-01  6.58E-01  6.68E+02  
     140  -5.7508012149E-02  1.27E+00  2.22E-10  8.21E-12  2.56E-10  5.62E-02  6.58E-01  6.68E+02  
     150  -5.7508006152E-02  1.27E+00  9.37E-11  1.72E-11  1.08E-10  2.79E-01  6.58E-01  6.68E+02  
     160  -5.7508005440E-02  1.27E+00  3.52E-11  2.87E-12  4.07E-11  1.24E-01  6.58E-01  6.68E+02  
     170  -5.7508006195E-02  1.27E+00  7.25E-12  1.01E-12  8.27E-12  2.09E-01  6.66E-01  9.02E+02  
     180  -5.7508006208E-02  1.27E+00  2.00E-12  1.17E-14  2.28E-12  8.80E-03  6.66E-01  9.02E+02  
     190  -5.7508006247E-02  1.27E+00  3.00E-13  5.41E-15  3.42E-13  2.70E-02  6.66E-01  9.02E+02  
     200  -5.7508006261E-02  1.27E+00  1.06E-13  5.00E-15  1.21E-13  7.10E-02  6.66E-01  9.02E+02  
     210  -5.7508006262E-02  1.27E+00  1.74E-14  4.21E-15  1.99E-14  3.63E-01  6.66E-01  9.02E+02  
     220  -5.7508006262E-02  1.27E+00  3.37E-15  1.91E-16  3.85E-15  8.52E-02  6.66E-01  9.02E+02  
     230  -5.7508006262E-02  1.27E+00  9.13E-16  1.09E-16  1.04E-15  1.80E-01  6.66E-01  9.02E+02  
     240  -5.7508006262E-02  1.27E+00  2.45E-16  6.88E-17  2.80E-16  4.21E-01  6.66E-01  9.02E+02  
     241  -5.7508006262E-02  1.27E+00  1.93E-16  1.60E-13  2.20E-16  1.25E+03  6.66E-01  9.43E+02  

 Exit  MINRES-QLP.       istop =  4              itn    =     241
 Exit  MINRES-QLP.       Anorm =  6.6609E-01     Acond  =  9.4330E+02
 Exit  MINRES-QLP.       rnorm =  1.9305E-16     Arnorm =  1.6019E-13
 Exit  MINRES-QLP.       xnorm =  1.2747E+00
 Exit  MINRES-QLP.       A solution to (poss. singular) Ax = b found, given rtol.         
