

 Enter MINRES-QLP.      Solution of symmetric   Ax = b
 n        =    240      ||b||    =   1.11E+00   precon   =   F
 itnlim   =    960      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter   x(1)              xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
       0   0.0000000000E+00  0.00E+00  1.11E+00  1.65E+01  1.00E+00  1.00E+00  0.00E+00  1.00E+00  
       1   2.5997597894E-03  7.23E-02  2.78E-01  1.35E+00  1.28E-01  3.10E-01  1.48E+01  1.00E+00  
       2   1.1775047827E-03  1.01E-01  1.44E-01  4.16E-01  5.34E-02  1.85E-01  1.57E+01  3.38E+00  
       3   8.7239083198E-04  1.28E-01  1.01E-01  2.36E-01  3.27E-02  1.49E-01  1.57E+01  6.75E+00  
       4  -4.4317657544E-04  1.61E-01  7.70E-02  1.58E-01  2.12E-02  1.31E-01  1.57E+01  1.15E+01  
       5  -2.8353275883E-03  2.00E-01  5.89E-02  1.37E-01  1.39E-02  1.48E-01  1.57E+01  1.69E+01  
       6  -3.0063764117E-03  2.40E-01  4.40E-02  6.56E-02  9.05E-03  9.54E-02  1.57E+01  2.04E+01  
       7  -3.3444540393E-03  2.64E-01  3.73E-02  4.51E-02  7.12E-03  7.72E-02  1.57E+01  2.22E+01  
       8  -4.2779507753E-03  3.10E-01  2.75E-02  4.39E-02  4.60E-03  1.02E-01  1.57E+01  4.06E+01  
       9  -4.4737045110E-03  3.32E-01  2.33E-02  1.56E-02  3.69E-03  4.27E-02  1.57E+01  3.23E+01  

      10  -5.1922241187E-03  3.59E-01  1.98E-02  2.03E-02  2.94E-03  6.55E-02  1.57E+01  5.36E+01  
      20  -1.4415185599E-02  6.36E-01  4.17E-03  9.49E-04  3.77E-04  1.45E-02  1.57E+01  2.13E+02  
      30  -1.8089517098E-02  7.20E-01  1.61E-03  2.75E-04  1.30E-04  1.09E-02  1.57E+01  3.63E+02  
      40  -1.8809184793E-02  7.64E-01  8.40E-04  1.31E-04  6.43E-05  9.94E-03  1.57E+01  5.05E+02  
      50  -1.9811782493E-02  7.92E-01  5.29E-04  2.20E-04  3.92E-05  2.66E-02  1.57E+01  1.04E+03  
      60  -2.0517435594E-02  8.17E-01  3.54E-04  9.47E-05  2.54E-05  1.71E-02  1.57E+01  1.25E+03  
      70  -2.1448490221E-02  8.44E-01  2.58E-04  2.03E-04  1.80E-05  5.04E-02  1.57E+01  3.17E+03  
      80  -2.2058722956E-02  8.60E-01  2.26E-04  3.57E-05  1.55E-05  1.01E-02  1.57E+01  3.74E+03  
      90  -2.3288760941E-02  8.91E-01  1.79E-04  1.20E-05  1.19E-05  4.28E-03  1.57E+01  3.89E+03  
     100  -2.4206710795E-02  9.20E-01  1.50E-04  8.64E-06  9.68E-06  3.67E-03  1.57E+01  7.91E+03  
     110  -2.5181887329E-02  9.44E-01  1.32E-04  1.63E-05  8.33E-06  7.85E-03  1.57E+01  7.91E+03  
     120  -2.8314806620E-02  9.81E-01  1.10E-04  3.18E-05  6.71E-06  1.84E-02  1.57E+01  9.41E+03  
     130  -3.2279287392E-02  1.02E+00  9.33E-05  3.62E-05  5.46E-06  2.48E-02  1.57E+01  1.02E+04  
     140  -3.4519113740E-02  1.04E+00  8.52E-05  5.16E-05  4.88E-06  3.87E-02  1.57E+01  1.57E+04  
