

 Enter MINRES-QLP.      Solution of symmetric   Ax = b
 n        =    240      ||b||    =   5.00E-01   precon   =   F
 itnlim   =    960      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter   x(1)              xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
       0   0.0000000000E+00  0.00E+00  5.00E-01  2.11E+00  1.00E+00  1.00E+00  0.00E+00  1.00E+00  
       1  -7.1041954625E-05  9.72E-02  2.86E-01  1.22E+00  3.14E-01  5.99E-01  4.22E+00  1.00E+00  
       2  -1.7742822939E-04  1.72E-01  1.68E-01  3.63E-01  9.76E-02  3.04E-01  7.12E+00  2.58E+00  
       3  -3.0611422961E-04  2.31E-01  1.16E-01  2.20E-01  5.39E-02  2.68E-01  7.12E+00  4.62E+00  
       4  -3.6036462675E-04  2.79E-01  8.97E-02  1.79E-01  3.60E-02  2.80E-01  7.12E+00  6.52E+00  
       5  -3.4142298446E-04  3.38E-01  6.70E-02  1.02E-01  2.31E-02  2.15E-01  7.12E+00  9.28E+00  
       6  -3.3563247759E-04  3.97E-01  4.81E-02  6.76E-02  1.44E-02  1.98E-01  7.12E+00  1.21E+01  
       7  -4.6346547958E-04  4.33E-01  3.84E-02  4.70E-02  1.07E-02  1.72E-01  7.12E+00  1.22E+01  
       8  -6.3453552792E-04  4.73E-01  2.90E-02  3.57E-02  7.50E-03  1.73E-01  7.12E+00  1.69E+01  
       9  -6.7767343534E-04  4.90E-01  2.56E-02  2.36E-02  6.42E-03  1.30E-01  7.12E+00  1.45E+01  

      10  -7.0438855338E-04  5.08E-01  2.32E-02  1.95E-02  5.64E-03  1.18E-01  7.12E+00  2.02E+01  
      20  -9.5832053616E-05  7.88E-01  6.72E-03  2.94E-03  1.10E-03  6.14E-02  7.12E+00  6.05E+01  
      30   5.0653630547E-04  9.73E-01  2.99E-03  1.23E-03  4.03E-04  5.79E-02  7.12E+00  1.69E+02  
      40   8.0934247261E-04  1.07E+00  1.67E-03  6.32E-04  1.97E-04  5.06E-02  7.45E+00  2.37E+02  
      50   7.9225176385E-04  1.14E+00  1.10E-03  2.33E-04  1.22E-04  2.84E-02  7.45E+00  5.35E+02  
      60   9.1660239868E-04  1.22E+00  7.05E-04  3.75E-05  6.59E-05  6.35E-03  8.37E+00  6.17E+02  
      70   1.0221010670E-03  1.28E+00  4.96E-04  1.39E-04  4.41E-05  3.36E-02  8.37E+00  1.56E+03  
      80   9.3947748103E-04  1.34E+00  3.68E-04  1.74E-04  3.15E-05  5.65E-02  8.37E+00  1.56E+03  
      90   9.5330350053E-04  1.41E+00  2.33E-04  2.04E-05  1.90E-05  1.05E-02  8.37E+00  2.62E+03  
     100   9.9479465910E-04  1.44E+00  1.75E-04  1.55E-04  1.39E-05  1.06E-01  8.37E+00  2.62E+03  
     110   9.7342124285E-04  1.49E+00  1.22E-04  1.36E-05  9.41E-06  1.33E-02  8.37E+00  2.62E+03  
     120   1.0338303239E-03  1.51E+00  1.03E-04  2.71E-05  7.89E-06  3.13E-02  8.37E+00  5.32E+03  
     130   1.0270910666E-03  1.52E+00  9.31E-05  9.13E-06  7.03E-06  1.17E-02  8.37E+00  5.35E+03  
     140   9.9755045709E-04  1.54E+00  8.11E-05  1.69E-05  6.04E-06  2.48E-02  8.37E+00  7.25E+03  
