

 Enter MINRES-QLP.      Solution of symmetric   Ax = b
 n        =     35      ||b||    =   3.99E-01   precon   =   F
 itnlim   =    140      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter   x(1)              xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
       0   0.0000000000E+00  0.00E+00  3.99E-01  2.94E+00  1.00E+00  1.00E+00  0.00E+00  1.00E+00  
       1  -5.0688036549E-03  4.35E-02  2.38E-01  7.96E-01  3.32E-01  3.26E-01  7.36E+00  1.00E+00  
       2  -1.2112462518E-02  7.29E-02  2.14E-01  3.43E-01  1.87E-01  1.57E-01  1.02E+01  3.52E+00  
       3  -3.9096058435E-02  1.93E-01  1.86E-01  6.65E-01  7.80E-02  3.50E-01  1.02E+01  1.24E+01  
       4  -5.5087525807E-02  2.66E-01  1.72E-01  2.15E-01  5.52E-02  1.12E-01  1.02E+01  1.11E+01  
       5  -7.8078235603E-02  3.68E-01  1.62E-01  1.30E-01  3.61E-02  7.23E-02  1.11E+01  2.09E+01  
       6  -9.4001157991E-02  4.43E-01  1.59E-01  1.12E-01  2.98E-02  6.33E-02  1.11E+01  2.74E+01  
       7  -1.0726797810E-01  5.12E-01  1.57E-01  5.39E-02  2.58E-02  3.09E-02  1.11E+01  3.74E+01  
       8  -1.3065473099E-01  6.52E-01  1.56E-01  7.89E-02  2.03E-02  4.56E-02  1.11E+01  7.97E+01  
       9  -1.5735843032E-01  8.36E-01  1.54E-01  4.08E-02  1.59E-02  2.38E-02  1.11E+01  1.06E+02  

      10  -1.8279942905E-01  1.06E+00  1.53E-01  6.66E-02  1.26E-02  3.90E-02  1.11E+01  1.47E+02  
      11  -2.1496727529E-01  1.40E+00  1.52E-01  5.56E-02  9.51E-03  3.29E-02  1.11E+01  2.00E+02  
      12  -2.3161093479E-01  1.65E+00  1.51E-01  2.96E-02  8.10E-03  1.76E-02  1.11E+01  1.88E+02  
      13  -2.3804726527E-01  1.88E+00  1.51E-01  3.93E-02  7.09E-03  2.34E-02  1.11E+01  2.23E+02  
      14  -2.4079028082E-01  2.22E+00  1.50E-01  3.55E-02  5.98E-03  2.13E-02  1.11E+01  3.05E+02  
      15  -2.3683755930E-01  3.01E+00  1.49E-01  2.94E-02  4.41E-03  1.77E-02  1.11E+01  4.99E+02  
      16  -2.3128069626E-01  3.35E+00  1.49E-01  4.15E-02  3.96E-03  2.51E-02  1.11E+01  3.63E+02  
      17  -2.1193840528E-01  4.26E+00  1.48E-01  3.49E-02  3.10E-03  2.12E-02  1.11E+01  6.30E+02  
      18  -1.9519610474E-01  5.01E+00  1.47E-01  4.13E-02  2.63E-03  2.52E-02  1.11E+01  6.05E+02  
      19  -1.8423382324E-01  5.55E+00  1.47E-01  2.58E-02  2.37E-03  1.58E-02  1.11E+01  6.30E+02  

      20  -1.6183507490E-01  6.90E+00  1.46E-01  1.27E-02  1.89E-03  7.81E-03  1.11E+01  9.10E+02  
      21  -1.5012101859E-01  8.80E+00  1.45E-01  4.57E-02  1.47E-03  2.83E-02  1.11E+01  1.17E+03  
      22  -1.4330173917E-01  1.09E+01  1.44E-01  2.42E-02  1.19E-03  1.52E-02  1.11E+01  1.25E+03  
      23  -1.4853862315E-01  1.49E+01  1.42E-01  2.82E-02  8.52E-04  1.79E-02  1.11E+01  1.80E+03  
      24  -1.5443099231E-01  1.62E+01  1.41E-01  1.53E-01  7.80E-04  8.49E-02  1.11E+01  1.25E+03  
      25  -1.7314275100E-01  2.00E+01  1.39E-01  5.84E-03  5.42E-04  3.27E-03  1.28E+01  2.08E+03  
      26  -1.7606396803E-01  2.07E+01  1.39E-01  2.01E-03  5.22E-04  1.13E-03  1.28E+01  1.44E+03  
      27  -1.7533133283E-01  2.32E+01  1.38E-01  2.32E-02  4.65E-04  1.31E-02  1.28E+01  2.87E+03  
      28  -1.7520298617E-01  2.35E+01  1.38E-01  2.24E-02  4.59E-04  1.26E-02  1.28E+01  1.44E+03  
      29  -1.7440053460E-01  2.50E+01  1.38E-01  3.16E-04  4.29E-04  1.79E-04  1.28E+01  2.87E+03  

      30  -1.7415783482E-01  2.57E+01  1.38E-01  5.98E-04  4.18E-04  3.38E-04  1.28E+01  6.12E+03  
      31  -1.7412200670E-01  2.59E+01  1.38E-01  2.26E-03  4.14E-04  1.28E-03  1.28E+01  5.24E+03  
      32  -1.7410956418E-01  2.60E+01  1.38E-01  1.90E-06  4.13E-04  1.08E-06  1.28E+01  6.12E+03  
      33  -1.7438879714E-01  8.08E+01  1.38E-01  2.59E-03  1.33E-04  1.47E-03  1.28E+01  1.65E+06  
      34  -1.7473005746E-01  1.49E+02  1.38E-01  1.27E-04  7.23E-05  7.20E-05  1.28E+01  1.83E+06  
      35  -1.7473044941E-01  1.49E+02  1.38E-01  2.20E-05  7.23E-05  1.24E-05  1.28E+01  1.65E+06  
      36  -1.7473045236E-01  1.49E+02  1.38E-01  1.39E-06  7.23E-05  7.13E-07  1.28E+01  1.83E+06  
      37  -1.7473045215E-01  1.49E+02  1.38E-01  1.73E-07  6.56E-05  8.87E-08  1.41E+01  1.82E+06  
      38  -1.7473045216E-01  1.49E+02  1.38E-01  1.26E-08  6.56E-05  6.47E-09  1.41E+01  1.15E+07 P
      39  -1.7473045217E-01  1.49E+02  1.38E-01  6.53E-09  6.56E-05  3.35E-09  1.41E+01  1.57E+08  

      40  -1.7473045217E-01  1.49E+02  1.38E-01  7.21E-09  6.55E-05  3.70E-09  1.41E+01  5.00E+08  
      41  -1.7473045219E-01  1.51E+02  1.38E-01  3.89E-08  6.47E-05  2.00E-08  1.41E+01  2.91E+09  
      42  -1.7473045222E-01  1.71E+02  1.38E-01  1.75E-07  5.69E-05  9.00E-08  1.41E+01  9.80E+09  
      43  -1.7473045236E-01  3.59E+02  1.38E-01  6.63E-07  2.72E-05  3.40E-07  1.41E+01  2.96E+10  
      44  -1.7473045265E-01  8.47E+02  1.38E-01  8.67E-07  1.15E-05  4.45E-07  1.41E+01  4.78E+10  
      45  -1.7473045474E-01  1.29E+04  1.38E-01  4.83E-06  7.59E-07  2.48E-06  1.41E+01  2.37E+11  
      45  -1.7473048583E-01  2.20E+05  1.38E-01  7.69E-06  4.43E-08  3.95E-06  1.41E+01  9.84E+11  
      46  -1.7474958222E-01  1.61E+08  1.38E-01  3.12E-04  4.43E-08  1.60E-04  1.41E+01  9.84E+11  

 Exit  MINRES-QLP.       istop = 12              itn    =      46
 Exit  MINRES-QLP.       Anorm =  1.4132E+01     Acond  =  9.8422E+11
 Exit  MINRES-QLP.       rnorm =  1.3791E-01     Arnorm =  3.1162E-04
 Exit  MINRES-QLP.       xnorm =  1.6065E+08
 Exit  MINRES-QLP.       xnorm has exceeded maxxnorm or will exceed it next iteration.    
